gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
C3053851	103.0034344	-1.255109842	0.187278096	-6.70185073	2.06E-11	1.32E-10
C3053855	229.0056825	1.059315897	0.152950465	6.925875616	4.33E-12	2.95E-11
C3053953	127.2682169	-0.566607428	0.200745503	-2.822516163	0.004764842	0.011149019
C3053969	6.997262519	-1.643760087	0.716967593	-2.292656046	0.021867815	0.043591447
C3053991	7.451346025	-2.675742747	0.74077277	-3.612096524	0.000303731	0.000874408
C3053995	320.7419074	-0.846116139	0.152159748	-5.560709403	2.69E-08	1.28E-07
C3054009	96.42457166	3.130336591	0.240793983	13.0000615	1.22E-38	3.84E-37
C3054083	1498.49113	-0.320122641	0.109181565	-2.932020994	0.00336764	0.008107647
C3054119	1726.894099	-1.236193036	0.146807463	-8.420505394	3.75E-17	3.70E-16
C3054163	110.9743653	-1.41474507	0.197679619	-7.156757358	8.26E-13	5.99E-12
C3054263	3.860197692	2.461402025	0.972688086	2.53051524	0.011389514	0.02437902
C3054271	6.301317591	-3.166129226	0.840134314	-3.768598871	0.000164166	0.000491587
C3054327	2291.788868	1.491101396	0.111756995	13.34235402	1.31E-40	4.57E-39
C3054329	17.65569227	1.163008267	0.411104436	2.828984962	0.004669589	0.010943973
C3054489	564.889202	2.708175848	0.188230732	14.38753292	6.20E-47	2.91E-45
C3054519	143.8258258	-0.491046109	0.18129577	-2.708535932	0.006758079	0.015251034
C3054655	117.7652635	-1.135014449	0.222189857	-5.108309023	3.25E-07	1.37E-06
C3054729	1534.644432	0.61814905	0.10926186	5.657500696	1.54E-08	7.50E-08
C3054801	172.6354763	-1.347353703	0.176353641	-7.640067417	2.17E-14	1.78E-13
C3054825	14.71129858	2.251035183	0.519770845	4.330822336	1.49E-05	5.17E-05
C3054907	281.8696836	-2.984443313	0.5144937	-5.800738308	6.60E-09	3.33E-08
C3054913	325.8170352	0.749619658	0.143921278	5.208539494	1.90E-07	8.24E-07
C3054949	84.76807456	-1.982027128	0.250699815	-7.90597763	2.66E-15	2.33E-14
C3054967	18.5960483	1.14989753	0.387215659	2.969656578	0.002981328	0.007253929
C3055019	661.7682686	-2.735841587	0.141343616	-19.35596147	1.82E-83	2.87E-81
C3055029	17.13605649	-0.915692363	0.384360056	-2.3823817	0.017201058	0.035134032
C3055065	3518.880573	-0.479434621	0.206516407	-2.321532848	0.020258103	0.040721789
C3055089	33.36363066	-0.810519815	0.328202021	-2.469575943	0.01352733	0.028408053
C3055115	5.331258675	1.991072181	0.777913402	2.559503636	0.010482176	0.022622334
C3055319	109.8607931	-0.642504281	0.224196443	-2.865809432	0.004159446	0.009852883
C3055365	39.10527806	-0.72973628	0.271692458	-2.685890818	0.007233672	0.016227268
C3055409	149.8600828	1.430790256	0.23335468	6.131397313	8.71E-10	4.76E-09
C3055453	21.80894184	-2.111864609	0.38409338	-5.498310351	3.83E-08	1.80E-07
C3055471	2.484514717	3.212536473	1.399362146	2.29571486	0.02169219	0.043306478
C3055549	298.445426	-1.643541509	0.176841013	-9.293893311	1.49E-20	1.82E-19
C3055593	369.292687	0.937246394	0.137820281	6.80049691	1.04E-11	6.84E-11
C3055793	13.00370936	-1.58082818	0.510180292	-3.098567713	0.001944585	0.004907885
C3055855	758.5461879	2.711541746	0.191232352	14.17930449	1.23E-45	5.51E-44
C3055859	365.0540594	1.503729759	0.156730132	9.594388365	8.44E-22	1.11E-20
C3055861	24.72300767	1.526505391	0.350100196	4.360195762	1.30E-05	4.56E-05
C3055881	8.471202867	1.337354412	0.587006374	2.278262164	0.022710963	0.045058487
C3055999	64.20241223	-0.621612965	0.220184357	-2.823147714	0.004755466	0.011133126
C3056083	19.59608192	-1.70043744	0.389898796	-4.361227726	1.29E-05	4.54E-05
